2C:B4:3A:xx:xx:xx	2C-B4-3A-xx-xx-xx	2CB4.3Axx.xxxx
2C:BE:08:xx:xx:xx	2C-BE-08-xx-xx-xx	2CBE.08xx.xxxx
2C:F0:A2:xx:xx:xx	2C-F0-A2-xx-xx-xx	2CF0.A2xx.xxxx
2C:F0:EE:xx:xx:xx	2C-F0-EE-xx-xx-xx	2CF0.EExx.xxxx
30:10:E4:xx:xx:xx	30-10-E4-xx-xx-xx	3010.E4xx.xxxx
30:35:AD:xx:xx:xx	30-35-AD-xx-xx-xx	3035.ADxx.xxxx
30:63:6B:xx:xx:xx	30-63-6B-xx-xx-xx	3063.6Bxx.xxxx
30:90:AB:xx:xx:xx	30-90-AB-xx-xx-xx	3090.ABxx.xxxx
30:D9:D9:xx:xx:xx	30-D9-D9-xx-xx-xx	30D9.D9xx.xxxx
30:F7:C5:xx:xx:xx	30-F7-C5-xx-xx-xx	30F7.C5xx.xxxx
34:08:BC:xx:xx:xx	34-08-BC-xx-xx-xx	3408.BCxx.xxxx
34:12:98:xx:xx:xx	34-12-98-xx-xx-xx	3412.98xx.xxxx
34:15:9E:xx:xx:xx	34-15-9E-xx-xx-xx	3415.9Exx.xxxx
34:36:3B:xx:xx:xx	34-36-3B-xx-xx-xx	3436.3Bxx.xxxx
34:42:62:xx:xx:xx	34-42-62-xx-xx-xx	3442.62xx.xxxx
34:51:C9:xx:xx:xx	34-51-C9-xx-xx-xx	3451.C9xx.xxxx
34:7C:25:xx:xx:xx	34-7C-25-xx-xx-xx	347C.25xx.xxxx
34:A3:95:xx:xx:xx	34-A3-95-xx-xx-xx	34A3.95xx.xxxx
34:A8:EB:xx:xx:xx	34-A8-EB-xx-xx-xx	34A8.EBxx.xxxx
34:AB:37:xx:xx:xx	34-AB-37-xx-xx-xx	34AB.37xx.xxxx
34:C0:59:xx:xx:xx	34-C0-59-xx-xx-xx	34C0.59xx.xxxx
34:E2:FD:xx:xx:xx	34-E2-FD-xx-xx-xx	34E2.FDxx.xxxx
38:0F:4A:xx:xx:xx	38-0F-4A-xx-xx-xx	380F.4Axx.xxxx
38:48:4C:xx:xx:xx	38-48-4C-xx-xx-xx	3848.4Cxx.xxxx
38:53:9C:xx:xx:xx	38-53-9C-xx-xx-xx	3853.9Cxx.xxxx
38:66:F0:xx:xx:xx	38-66-F0-xx-xx-xx	3866.F0xx.xxxx
38:71:DE:xx:xx:xx	38-71-DE-xx-xx-xx	3871.DExx.xxxx
38:89:2C:xx:xx:xx	38-89-2C-xx-xx-xx	3889.2Cxx.xxxx
38:B5:4D:xx:xx:xx	38-B5-4D-xx-xx-xx	38B5.4Dxx.xxxx
38:C9:86:xx:xx:xx	38-C9-86-xx-xx-xx	38C9.86xx.xxxx
38:CA:DA:xx:xx:xx	38-CA-DA-xx-xx-xx	38CA.DAxx.xxxx
38:F9:D3:xx:xx:xx	38-F9-D3-xx-xx-xx	38F9.D3xx.xxxx
3C:07:54:xx:xx:xx	3C-07-54-xx-xx-xx	3C07.54xx.xxxx
3C:15:C2:xx:xx:xx	3C-15-C2-xx-xx-xx	3C15.C2xx.xxxx
3C:2E:F9:xx:xx:xx	3C-2E-F9-xx-xx-xx	3C2E.F9xx.xxxx
3C:2E:FF:xx:xx:xx	3C-2E-FF-xx-xx-xx	3C2E.FFxx.xxxx
3C:AB:8E:xx:xx:xx	3C-AB-8E-xx-xx-xx	3CAB.8Exx.xxxx
3C:D0:F8:xx:xx:xx	3C-D0-F8-xx-xx-xx	3CD0.F8xx.xxxx
3C:E0:72:xx:xx:xx	3C-E0-72-xx-xx-xx	3CE0.72xx.xxxx
40:26:19:xx:xx:xx	40-26-19-xx-xx-xx	4026.19xx.xxxx
40:30:04:xx:xx:xx	40-30-04-xx-xx-xx	4030.04xx.xxxx
40:33:1A:xx:xx:xx	40-33-1A-xx-xx-xx	4033.1Axx.xxxx
40:3C:FC:xx:xx:xx	40-3C-FC-xx-xx-xx	403C.FCxx.xxxx
40:4D:7F:xx:xx:xx	40-4D-7F-xx-xx-xx	404D.7Fxx.xxxx
40:6C:8F:xx:xx:xx	40-6C-8F-xx-xx-xx	406C.8Fxx.xxxx
40:83:1D:xx:xx:xx	40-83-1D-xx-xx-xx	4083.1Dxx.xxxx
40:98:AD:xx:xx:xx	40-98-AD-xx-xx-xx	4098.ADxx.xxxx
40:9C:28:xx:xx:xx	40-9C-28-xx-xx-xx	409C.28xx.xxxx
40:A6:D9:xx:xx:xx	40-A6-D9-xx-xx-xx	40A6.D9xx.xxxx
40:B3:95:xx:xx:xx	40-B3-95-xx-xx-xx	40B3.95xx.xxxx
40:BC:60:xx:xx:xx	40-BC-60-xx-xx-xx	40BC.60xx.xxxx
40:CB:C0:xx:xx:xx	40-CB-C0-xx-xx-xx	40CB.C0xx.xxxx
40:D3:2D:xx:xx:xx	40-D3-2D-xx-xx-xx	40D3.2Dxx.xxxx
44:00:10:xx:xx:xx	44-00-10-xx-xx-xx	4400.10xx.xxxx
44:18:FD:xx:xx:xx	44-18-FD-xx-xx-xx	4418.FDxx.xxxx
44:2A:60:xx:xx:xx	44-2A-60-xx-xx-xx	442A.60xx.xxxx
44:4C:0C:xx:xx:xx	44-4C-0C-xx-xx-xx	444C.0Cxx.xxxx
44:D8:84:xx:xx:xx	44-D8-84-xx-xx-xx	44D8.84xx.xxxx
44:E6:6E:xx:xx:xx	44-E6-6E-xx-xx-xx	44E6.6Exx.xxxx
44:FB:42:xx:xx:xx	44-FB-42-xx-xx-xx	44FB.42xx.xxxx
48:3B:38:xx:xx:xx	48-3B-38-xx-xx-xx	483B.38xx.xxxx
48:43:7C:xx:xx:xx	48-43-7C-xx-xx-xx	4843.7Cxx.xxxx
48:4B:AA:xx:xx:xx	48-4B-AA-xx-xx-xx	484B.AAxx.xxxx
48:60:BC:xx:xx:xx	48-60-BC-xx-xx-xx	4860.BCxx.xxxx
48:74:6E:xx:xx:xx	48-74-6E-xx-xx-xx	4874.6Exx.xxxx
48:A1:95:xx:xx:xx	48-A1-95-xx-xx-xx	48A1.95xx.xxxx
48:A9:1C:xx:xx:xx	48-A9-1C-xx-xx-xx	48A9.1Cxx.xxxx
48:BF:6B:xx:xx:xx	48-BF-6B-xx-xx-xx	48BF.6Bxx.xxxx
48:D7:05:xx:xx:xx	48-D7-05-xx-xx-xx	48D7.05xx.xxxx
48:E9:F1:xx:xx:xx	48-E9-F1-xx-xx-xx	48E9.F1xx.xxxx
4C:32:75:xx:xx:xx	4C-32-75-xx-xx-xx	4C32.75xx.xxxx
4C:56:9D:xx:xx:xx	4C-56-9D-xx-xx-xx	4C56.9Dxx.xxxx
4C:57:CA:xx:xx:xx	4C-57-CA-xx-xx-xx	4C57.CAxx.xxxx
4C:74:BF:xx:xx:xx	4C-74-BF-xx-xx-xx	4C74.BFxx.xxxx
4C:7C:5F:xx:xx:xx	4C-7C-5F-xx-xx-xx	4C7C.5Fxx.xxxx
4C:8D:79:xx:xx:xx	4C-8D-79-xx-xx-xx	4C8D.79xx.xxxx
4C:B1:99:xx:xx:xx	4C-B1-99-xx-xx-xx	4CB1.99xx.xxxx
50:32:37:xx:xx:xx	50-32-37-xx-xx-xx	5032.37xx.xxxx
50:7A:55:xx:xx:xx	50-7A-55-xx-xx-xx	507A.55xx.xxxx
50:82:D5:xx:xx:xx	50-82-D5-xx-xx-xx	5082.D5xx.xxxx
50:A6:7F:xx:xx:xx	50-A6-7F-xx-xx-xx	50A6.7Fxx.xxxx
50:BC:96:xx:xx:xx	50-BC-96-xx-xx-xx	50BC.96xx.xxxx
50:EA:D6:xx:xx:xx	50-EA-D6-xx-xx-xx	50EA.D6xx.xxxx
54:26:96:xx:xx:xx	54-26-96-xx-xx-xx	5426.96xx.xxxx
54:33:CB:xx:xx:xx	54-33-CB-xx-xx-xx	5433.CBxx.xxxx
54:4E:90:xx:xx:xx	54-4E-90-xx-xx-xx	544E.90xx.xxxx
54:62:E2:xx:xx:xx	54-62-E2-xx-xx-xx	5462.E2xx.xxxx
54:72:4F:xx:xx:xx	54-72-4F-xx-xx-xx	5472.4Fxx.xxxx
54:99:63:xx:xx:xx	54-99-63-xx-xx-xx	5499.63xx.xxxx
54:9F:13:xx:xx:xx	54-9F-13-xx-xx-xx	549F.13xx.xxxx
54:AE:27:xx:xx:xx	54-AE-27-xx-xx-xx	54AE.27xx.xxxx
54:E4:3A:xx:xx:xx	54-E4-3A-xx-xx-xx	54E4.3Axx.xxxx
54:EA:A8:xx:xx:xx	54-EA-A8-xx-xx-xx	54EA.A8xx.xxxx
58:1F:AA:xx:xx:xx	58-1F-AA-xx-xx-xx	581F.AAxx.xxxx
58:40:4E:xx:xx:xx	58-40-4E-xx-xx-xx	5840.4Exx.xxxx
58:55:CA:xx:xx:xx	58-55-CA-xx-xx-xx	5855.CAxx.xxxx
58:6B:14:xx:xx:xx	58-6B-14-xx-xx-xx	586B.14xx.xxxx
58:7F:57:xx:xx:xx	58-7F-57-xx-xx-xx	587F.57xx.xxxx
58:B0:35:xx:xx:xx	58-B0-35-xx-xx-xx	58B0.35xx.xxxx
58:E2:8F:xx:xx:xx	58-E2-8F-xx-xx-xx	58E2.8Fxx.xxxx
58:E6:BA:xx:xx:xx	58-E6-BA-xx-xx-xx	58E6.BAxx.xxxx
5C:09:47:xx:xx:xx	5C-09-47-xx-xx-xx	5C09.47xx.xxxx
5C:1D:D9:xx:xx:xx	5C-1D-D9-xx-xx-xx	5C1D.D9xx.xxxx
5C:59:48:xx:xx:xx	5C-59-48-xx-xx-xx	5C59.48xx.xxxx
5C:8D:4E:xx:xx:xx	5C-8D-4E-xx-xx-xx	5C8D.4Exx.xxxx
5C:95:AE:xx:xx:xx	5C-95-AE-xx-xx-xx	5C95.AExx.xxxx
5C:96:9D:xx:xx:xx	5C-96-9D-xx-xx-xx	5C96.9Dxx.xxxx
5C:97:F3:xx:xx:xx	5C-97-F3-xx-xx-xx	5C97.F3xx.xxxx
5C:AD:CF:xx:xx:xx	5C-AD-CF-xx-xx-xx	5CAD.CFxx.xxxx
5C:F5:DA:xx:xx:xx	5C-F5-DA-xx-xx-xx	5CF5.DAxx.xxxx
5C:F7:E6:xx:xx:xx	5C-F7-E6-xx-xx-xx	5CF7.E6xx.xxxx
5C:F9:38:xx:xx:xx	5C-F9-38-xx-xx-xx	5CF9.38xx.xxxx
60:03:08:xx:xx:xx	60-03-08-xx-xx-xx	6003.08xx.xxxx
60:30:D4:xx:xx:xx	60-30-D4-xx-xx-xx	6030.D4xx.xxxx
60:33:4B:xx:xx:xx	60-33-4B-xx-xx-xx	6033.4Bxx.xxxx
60:69:44:xx:xx:xx	60-69-44-xx-xx-xx	6069.44xx.xxxx
60:8C:4A:xx:xx:xx	60-8C-4A-xx-xx-xx	608C.4Axx.xxxx
60:92:17:xx:xx:xx	60-92-17-xx-xx-xx	6092.17xx.xxxx
60:9A:C1:xx:xx:xx	60-9A-C1-xx-xx-xx	609A.C1xx.xxxx
60:A3:7D:xx:xx:xx	60-A3-7D-xx-xx-xx	60A3.7Dxx.xxxx
60:C5:47:xx:xx:xx	60-C5-47-xx-xx-xx	60C5.47xx.xxxx
60:D9:C7:xx:xx:xx	60-D9-C7-xx-xx-xx	60D9.C7xx.xxxx
60:F4:45:xx:xx:xx	60-F4-45-xx-xx-xx	60F4.45xx.xxxx
60:F8:1D:xx:xx:xx	60-F8-1D-xx-xx-xx	60F8.1Dxx.xxxx
60:FA:CD:xx:xx:xx	60-FA-CD-xx-xx-xx	60FA.CDxx.xxxx
60:FB:42:xx:xx:xx	60-FB-42-xx-xx-xx	60FB.42xx.xxxx
60:FE:C5:xx:xx:xx	60-FE-C5-xx-xx-xx	60FE.C5xx.xxxx
64:20:0C:xx:xx:xx	64-20-0C-xx-xx-xx	6420.0Cxx.xxxx
64:5A:ED:xx:xx:xx	64-5A-ED-xx-xx-xx	645A.EDxx.xxxx
64:70:33:xx:xx:xx	64-70-33-xx-xx-xx	6470.33xx.xxxx
64:76:BA:xx:xx:xx	64-76-BA-xx-xx-xx	6476.BAxx.xxxx
64:9A:BE:xx:xx:xx	64-9A-BE-xx-xx-xx	649A.BExx.xxxx
64:A3:CB:xx:xx:xx	64-A3-CB-xx-xx-xx	64A3.CBxx.xxxx
64:A5:C3:xx:xx:xx	64-A5-C3-xx-xx-xx	64A5.C3xx.xxxx
64:B0:A6:xx:xx:xx	64-B0-A6-xx-xx-xx	64B0.A6xx.xxxx
64:B9:E8:xx:xx:xx	64-B9-E8-xx-xx-xx	64B9.E8xx.xxxx
64:C7:53:xx:xx:xx	64-C7-53-xx-xx-xx	64C7.53xx.xxxx
64:E6:82:xx:xx:xx	64-E6-82-xx-xx-xx	64E6.82xx.xxxx
68:09:27:xx:xx:xx	68-09-27-xx-xx-xx	6809.27xx.xxxx
68:5B:35:xx:xx:xx	68-5B-35-xx-xx-xx	685B.35xx.xxxx
68:64:4B:xx:xx:xx	68-64-4B-xx-xx-xx	6864.4Bxx.xxxx
68:96:7B:xx:xx:xx	68-96-7B-xx-xx-xx	6896.7Bxx.xxxx
68:9C:70:xx:xx:xx	68-9C-70-xx-xx-xx	689C.70xx.xxxx
68:A8:6D:xx:xx:xx	68-A8-6D-xx-xx-xx	68A8.6Dxx.xxxx
68:AB:1E:xx:xx:xx	68-AB-1E-xx-xx-xx	68AB.1Exx.xxxx
68:AE:20:xx:xx:xx	68-AE-20-xx-xx-xx	68AE.20xx.xxxx
68:D9:3C:xx:xx:xx	68-D9-3C-xx-xx-xx	68D9.3Cxx.xxxx
68:DB:CA:xx:xx:xx	68-DB-CA-xx-xx-xx	68DB.CAxx.xxxx
68:EF:43:xx:xx:xx	68-EF-43-xx-xx-xx	68EF.43xx.xxxx
68:FB:7E:xx:xx:xx	68-FB-7E-xx-xx-xx	68FB.7Exx.xxxx
68:FE:F7:xx:xx:xx	68-FE-F7-xx-xx-xx	68FE.F7xx.xxxx
6C:19:C0:xx:xx:xx	6C-19-C0-xx-xx-xx	6C19.C0xx.xxxx
6C:3E:6D:xx:xx:xx	6C-3E-6D-xx-xx-xx	6C3E.6Dxx.xxxx
