F4:96:34:xx:xx:xx	F4-96-34-xx-xx-xx	F496.34xx.xxxx
F4:D1:08:xx:xx:xx	F4-D1-08-xx-xx-xx	F4D1.08xx.xxxx
F8:16:54:xx:xx:xx	F8-16-54-xx-xx-xx	F816.54xx.xxxx
F8:34:41:xx:xx:xx	F8-34-41-xx-xx-xx	F834.41xx.xxxx
F8:59:71:xx:xx:xx	F8-59-71-xx-xx-xx	F859.71xx.xxxx
F8:63:3F:xx:xx:xx	F8-63-3F-xx-xx-xx	F863.3Fxx.xxxx
F8:94:C2:xx:xx:xx	F8-94-C2-xx-xx-xx	F894.C2xx.xxxx
F8:F2:1E:xx:xx:xx	F8-F2-1E-xx-xx-xx	F8F2.1Exx.xxxx
FC:77:74:xx:xx:xx	FC-77-74-xx-xx-xx	FC77.74xx.xxxx
FC:F8:AE:xx:xx:xx	FC-F8-AE-xx-xx-xx	FCF8.AExx.xxxx
